DEBUG 2024-07-10 11:32:28,646 autoreload File /app/apps/users/views.py previous mtime: 1720610505.123044, current mtime: 1720611148.000242
DEBUG 2024-07-10 11:32:28,648 autoreload /app/apps/users/views.py notified as changed. Signal results: [(<function template_changed at 0xffff80ed6b80>, None), (<function translation_file_changed at 0xffff7fec8040>, None)].
INFO 2024-07-10 11:32:28,649 autoreload /app/apps/users/views.py changed, reloading.
INFO 2024-07-10 11:32:29,193 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-10 11:32:29,194 autoreload Waiting for apps ready_event.
DEBUG 2024-07-10 11:32:29,275 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-10 11:32:29,281 autoreload Watching dir /app/apps/info/templates with glob **/*.
DEBUG 2024-07-10 11:32:29,281 autoreload Watching dir /app/apps/entry/templates with glob **/*.
DEBUG 2024-07-10 11:32:29,289 autoreload Watching dir /app/apps/options/templates with glob **/*.
DEBUG 2024-07-10 11:32:29,289 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-07-10 11:32:29,290 autoreload Watching dir /usr/local/lib/python3.9/site-packages/drf_yasg/templates with glob **/*.
DEBUG 2024-07-10 11:32:29,290 autoreload Watching dir /app/apps/users/templates with glob **/*.
DEBUG 2024-07-10 11:32:29,290 autoreload Watching dir /app/templates with glob **/*.
DEBUG 2024-07-10 11:32:29,290 autoreload Watching dir /app/locale with glob **/*.mo.
DEBUG 2024-07-10 11:32:29,291 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-07-10 11:32:29,291 autoreload Watching dir /usr/local/lib/python3.9/site-packages/requests/locale with glob **/*.mo.
DEBUG 2024-07-10 11:32:29,291 autoreload Watching dir /usr/local/lib/python3.9/site-packages/drf_yasg/locale with glob **/*.mo.
DEBUG 2024-07-10 11:32:29,292 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
DEBUG 2024-07-10 11:32:29,293 autoreload Watching dir /app/apps/users/locale with glob **/*.mo.
DEBUG 2024-07-10 11:32:29,293 autoreload Watching dir /app/apps/entry/locale with glob **/*.mo.
DEBUG 2024-07-10 11:32:29,337 autoreload File /usr/local/lib/python3.9/xml/parsers/expat.py first seen with mtime 1719959277.0
DEBUG 2024-07-10 11:32:29,337 autoreload File /usr/local/lib/python3.9/site-packages/django/core/mail/utils.py first seen with mtime 1720534212.134957
DEBUG 2024-07-10 11:32:29,338 autoreload File /usr/local/lib/python3.9/asyncio/protocols.py first seen with mtime 1719959277.0
DEBUG 2024-07-10 11:32:29,338 autoreload File /usr/local/lib/python3.9/site-packages/django/core/checks/security/sessions.py first seen with mtime 1720534212.132957
DEBUG 2024-07-10 11:32:29,338 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/regex_helper.py first seen with mtime 1720534212.173957
DEBUG 2024-07-10 11:32:29,338 autoreload File /usr/local/lib/python3.9/ntpath.py first seen with mtime 1719959275.0
DEBUG 2024-07-10 11:32:29,339 autoreload File /usr/local/lib/python3.9/site-packages/jinja2/parser.py first seen with mtime 1720534208.464957
DEBUG 2024-07-10 11:32:29,339 autoreload File /usr/local/lib/python3.9/unittest/loader.py first seen with mtime 1719959277.0
DEBUG 2024-07-10 11:32:29,339 autoreload File /usr/local/lib/python3.9/site-packages/django/db/models/enums.py first seen with mtime 1720534212.150957
DEBUG 2024-07-10 11:32:29,339 autoreload File /usr/local/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/requirements.py first seen with mtime 1719989270.0
DEBUG 2024-07-10 11:32:29,340 autoreload File /usr/local/lib/python3.9/site-packages/pytz/__init__.py first seen with mtime 1720534206.204957
DEBUG 2024-07-10 11:32:29,340 autoreload File /usr/local/lib/python3.9/site-packages/django/core/files/images.py first seen with mtime 1720534212.132957
DEBUG 2024-07-10 11:32:29,340 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/admin/__init__.py first seen with mtime 1720534211.754957
DEBUG 2024-07-10 11:32:29,340 autoreload File /usr/local/lib/python3.9/site-packages/requests/adapters.py first seen with mtime 1720534208.404957
DEBUG 2024-07-10 11:32:29,340 autoreload File /usr/local/lib/python3.9/site-packages/packaging/__init__.py first seen with mtime 1720534206.765957
